COD_ESC;IDESP_AI;IDESP_AF;IDESP_EM;ANO_APLICACAO;DTCADASTRO
29944;0.00;3.97;3.87;2019;2023-03-20 11:15:36.7230000
29973;0.00;3.39;2.24;2019;2023-03-20 11:15:36.7230000
29981;0.00;3.66;2.88;2019;2023-03-20 11:15:36.7230000
2999;4.23;2.98;1.66;2019;2023-03-20 11:15:36.7230000
29993;0.00;3.54;2.29;2019;2023-03-20 11:15:36.7230000
30004;0.00;3.84;2.68;2019;2023-03-20 11:15:36.7230000
3001;4.94;2.67;2.14;2019;2023-03-20 11:15:36.7230000
30016;0.00;2.40;1.73;2019;2023-03-20 11:15:36.7230000
30041;0.00;2.98;2.89;2019;2023-03-20 11:15:36.7230000
30053;0.00;3.26;2.70;2019;2023-03-20 11:15:36.7230000
30065;0.00;2.98;1.74;2019;2023-03-20 11:15:36.7230000
30089;0.00;3.01;0.00;2019;2023-03-20 11:15:36.7230000
30107;0.00;3.53;3.36;2019;2023-03-20 11:15:36.7230000
30119;0.00;4.45;4.45;2019;2023-03-20 11:15:36.7230000
30120;0.00;4.70;0.00;2019;2023-03-20 11:15:36.7230000
3013;5.36;0.00;1.99;2019;2023-03-20 11:15:36.7230000
30132;0.00;5.08;4.05;2019;2023-03-20 11:15:36.7230000
30173;0.00;4.76;3.99;2019;2023-03-20 11:15:36.7230000
30181;0.00;3.91;2.21;2019;2023-03-20 11:15:36.7230000
30193;0.00;5.07;2.03;2019;2023-03-20 11:15:36.7230000
30211;0.00;6.52;5.78;2019;2023-03-20 11:15:36.7230000
30235;0.00;4.97;2.44;2019;2023-03-20 11:15:36.7230000
30247;0.00;3.65;3.23;2019;2023-03-20 11:15:36.7230000
30259;0.00;4.91;0.00;2019;2023-03-20 11:15:36.7230000
30260;0.00;3.65;3.15;2019;2023-03-20 11:15:36.7230000
30272;0.00;4.76;2.97;2019;2023-03-20 11:15:36.7230000
30296;6.42;0.00;0.00;2019;2023-03-20 11:15:36.7230000
30314;0.00;4.16;2.58;2019;2023-03-20 11:15:36.7230000
30326;0.00;2.96;2.79;2019;2023-03-20 11:15:36.7230000
30348;0.00;3.59;2.92;2019;2023-03-20 11:15:36.7230000
30363;0.00;3.61;2.72;2019;2023-03-20 11:15:36.7230000
3037;0.00;4.14;2.17;2019;2023-03-20 11:15:36.7230000
30387;0.00;2.93;2.03;2019;2023-03-20 11:15:36.7230000
30442;0.00;2.39;1.99;2019;2023-03-20 11:15:36.7230000
30454;0.00;4.88;3.76;2019;2023-03-20 11:15:36.7230000
30466;8.19;0.00;0.00;2019;2023-03-20 11:15:36.7230000
30478;0.00;3.76;3.32;2019;2023-03-20 11:15:36.7230000
3049;6.06;0.00;0.00;2019;2023-03-20 11:15:36.7230000
3050;0.00;3.27;2.01;2019;2023-03-20 11:15:36.7230000
30508;0.00;4.86;3.56;2019;2023-03-20 11:15:36.7230000
30512;0.00;3.52;2.81;2019;2023-03-20 11:15:36.7230000
30521;0.00;4.10;3.33;2019;2023-03-20 11:15:36.7230000
30533;0.00;4.91;3.71;2019;2023-03-20 11:15:36.7230000
30557;0.00;4.80;0.00;2019;2023-03-20 11:15:36.7230000
30570;0.00;4.66;2.47;2019;2023-03-20 11:15:36.7230000
30582;0.00;3.28;2.42;2019;2023-03-20 11:15:36.7230000
30612;0.00;4.58;3.91;2019;2023-03-20 11:15:36.7230000
3062;0.00;3.23;1.99;2019;2023-03-20 11:15:36.7230000
30624;0.00;4.13;3.45;2019;2023-03-20 11:15:36.7230000
