BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF
7,3,1,1,13,1,9,3.55
4,3,1,1,10,0,6,1.98
4,3,1,1,12,1,4,2.97
5,4,1,2,17,1,10,3.58
3,3,1,1,7,1,5,2.97
5,3,1,1,12,1,7,3.38
12,5,2,1,22,1,15,2.57
5,3,0,2,17,0,10,1.77
5,4,1,2,12,1,8,3.04
4,2,1,1,7,1,6,3.0
4,3,0,1,11,1,3,4.55
6,2,2,1,13,1,8,3.14
5,4,1,2,18,1,11,0.0
7,4,2,2,19,1,11,3.29
6,5,1,1,13,2,13,2.63
4,3,2,1,18,1,8,2.64
5,4,2,2,18,1,8,2.99
8,5,1,2,17,2,20,4.07
6,3,2,1,19,1,7,2.93
4,4,2,1,18,1,8,2.89
5,4,1,1,17,0,6,0.0
4,5,1,2,19,1,13,3.49
4,3,2,1,17,1,7,2.76
4,1,1,1,9,1,5,3.18
6,5,1,1,18,1,11,3.14
8,4,2,2,17,1,12,0.0
3,3,2,2,23,1,8,2.44
3,4,1,1,13,1,10,3.77
2,3,2,2,18,1,8,3.29
5,5,1,1,15,1,9,3.05
6,4,2,2,22,1,6,3.05
9,4,1,1,25,0,10,0.0
6,3,2,2,12,2,9,3.05
6,4,2,1,23,1,9,3.38
8,5,2,2,19,1,9,3.17
6,4,1,2,19,1,8,3.28
4,4,2,3,17,2,11,2.62
4,3,1,2,10,1,7,2.66
4,4,1,1,23,1,11,2.4
7,4,1,2,23,1,11,4.16
8,1,2,1,16,1,10,2.95
4,6,3,2,20,1,11,2.51
5,3,2,2,17,1,11,3.18
5,4,2,2,26,1,8,3.72
4,5,2,2,16,1,9,2.82
4,3,1,2,18,1,8,2.91
4,6,2,2,16,1,12,3.92
5,2,0,1,8,0,6,3.57
5,3,1,1,13,1,7,3.33
7,3,0,1,13,0,9,3.01
5,3,1,1,16,1,9,0.0
5,3,1,1,13,1,6,2.78
8,3,1,1,16,1,9,0.0
5,4,0,0,12,0,7,0.0
4,4,2,2,18,1,9,0.0
16,9,6,1,23,1,18,0.0
5,3,1,2,10,1,7,3.68
5,4,0,1,15,0,11,0.0
7,4,1,1,13,1,12,0.0
4,5,4,3,12,0,11,0.0
12,3,1,1,15,1,15,3.0
9,5,0,2,11,1,11,0.0
10,5,1,1,12,1,8,0.0
4,5,1,1,12,0,14,0.0
6,3,1,1,7,1,8,0.0
5,3,0,1,9,0,7,0.0
6,5,1,1,14,0,9,0.0
4,3,0,1,10,0,5,3.33
2,4,2,1,23,1,7,4.34
9,4,2,3,20,1,9,0.0
9,4,0,1,13,1,11,3.19
4,2,0,1,15,1,6,0.0
14,4,2,2,18,1,13,3.17
2,4,2,1,21,1,8,3.44
6,2,1,1,11,1,13,2.0
4,2,0,1,16,1,10,0.0
4,2,1,1,9,1,9,0.0
11,3,1,1,21,1,11,3.16
2,3,1,1,10,0,6,0.0
5,2,1,1,8,1,6,2.72
4,2,1,0,13,0,9,0.0
6,1,1,1,15,0,7,0.0
5,4,1,1,20,1,13,3.83
5,3,1,1,16,0,7,0.0
3,4,5,2,18,1,8,2.68
4,3,0,1,11,1,6,4.21
1,2,2,0,14,1,7,3.27
2,2,1,2,13,0,6,2.92
10,4,2,2,9,1,6,4.88
6,5,0,0,15,1,8,5.11
4,3,1,1,13,1,8,3.7
8,8,2,1,19,2,11,3.78
6,3,1,1,11,1,8,4.96
6,4,2,1,19,0,13,3.33
5,6,2,1,25,1,12,2.97
5,4,1,0,9,1,7,2.74
3,4,2,2,16,1,9,3.29
5,4,2,1,16,1,10,3.22
11,5,4,5,28,1,19,2.7
5,4,1,1,14,1,9,5.22
7,4,1,1,12,1,10,3.45
4,5,2,1,10,1,8,6.79
4,3,2,2,20,1,12,3.35
10,5,1,2,20,1,12,0.0
3,4,1,1,12,1,6,4.74
2,5,4,1,19,1,7,3.74
3,3,1,2,14,1,10,4.21
2,2,2,1,8,0,6,2.87
6,3,1,0,7,0,8,0.0
5,4,2,1,11,1,7,3.11
7,4,3,1,12,1,8,0.0
5,4,3,2,8,1,8,0.0
6,6,1,1,19,1,9,0.0
5,4,3,1,19,1,10,3.99
4,2,1,1,18,1,7,3.0
2,2,1,1,10,1,6,3.24
7,3,1,1,13,1,8,3.35
8,5,4,2,27,1,10,4.86
4,2,1,0,18,1,7,0.0
6,8,1,1,18,1,9,0.0
5,2,1,1,8,1,5,3.35
4,4,1,2,11,0,6,3.0
6,3,1,1,9,1,6,0.0
12,4,3,1,14,1,4,4.32
8,5,1,1,13,1,7,0.0
4,3,2,2,17,1,10,2.42
4,3,2,1,17,1,5,4.52
6,3,0,1,16,0,17,0.0
5,3,1,0,10,1,9,2.55
5,4,2,0,10,1,7,3.45
7,5,3,2,19,1,8,0.0
5,3,1,0,11,1,6,2.76
5,5,4,2,16,1,13,0.0
10,2,3,1,9,1,8,0.0
4,4,2,0,18,1,8,0.0
7,4,1,1,9,1,6,0.0
6,3,0,0,7,1,5,3.7
5,3,0,1,9,0,9,0.0
7,3,1,1,8,1,5,4.16
8,6,5,1,20,1,10,0.0
6,3,1,1,10,1,7,0.0
5,1,2,0,9,1,8,3.37
7,4,1,1,18,1,12,2.0
6,6,2,2,18,1,15,2.45
4,5,2,1,20,1,8,3.11
5,4,2,2,16,1,10,2.3
8,3,1,2,15,2,8,0.0
7,4,1,1,13,2,15,3.44
5,3,3,1,11,1,10,0.0
7,3,3,2,9,1,12,0.0
4,5,2,2,14,1,9,3.83
5,3,0,1,7,1,7,3.74
7,2,2,2,10,1,13,2.98
5,2,1,0,6,1,5,0.0
4,3,0,1,12,2,10,0.0
5,3,1,2,13,1,7,3.3
7,2,0,1,14,1,7,0.0
9,5,2,2,27,1,18,4.2
6,4,3,3,18,1,12,5.94
7,3,1,1,18,1,14,3.75
5,3,2,2,27,1,17,2.61
8,3,2,2,21,1,11,4.03
5,2,0,2,19,1,12,4.59
6,5,0,1,15,1,12,3.57
4,4,1,1,12,1,9,0.0
9,3,1,1,14,1,12,2.55
10,5,4,1,12,2,10,2.16
9,3,2,2,27,1,10,4.18
6,2,2,1,10,1,11,2.98
6,4,4,2,15,1,11,3.99
6,4,1,1,10,1,7,4.0
4,3,1,1,12,1,10,3.21
5,2,1,1,7,1,14,3.7
9,4,1,1,17,2,14,0.0
4,1,1,1,7,1,10,4.49
10,4,2,2,14,1,15,3.16
6,2,1,1,9,1,11,2.64
8,3,3,1,8,1,4,3.21
5,5,1,1,14,0,9,3.44
10,3,2,2,12,1,8,3.74
5,3,1,1,12,0,9,3.49
8,3,2,2,19,2,18,0.0
5,3,2,1,11,1,11,4.38
7,3,3,3,23,1,12,3.19
6,2,1,1,8,1,8,3.84
4,1,1,1,4,0,7,0.0
6,5,1,1,14,1,14,0.0
8,5,2,2,13,1,16,6.07
4,1,1,0,5,1,5,3.93
6,2,1,1,8,0,9,3.24
6,4,2,1,9,1,13,4.57
5,5,0,1,15,1,14,0.0
10,7,2,2,18,1,30,3.32
11,4,3,4,17,1,19,0.0
5,3,1,1,11,2,13,0.0
5,2,1,1,11,1,9,0.0
14,3,6,3,27,1,26,3.07
7,3,4,1,15,1,13,4.14
5,2,1,0,5,1,6,4.57
5,2,3,2,11,1,17,2.85
5,2,0,2,10,1,8,3.05
6,4,1,1,10,1,15,0.0
9,4,1,3,14,1,14,3.7
7,3,3,2,19,1,10,3.17
5,5,2,1,23,1,24,3.66
4,4,2,1,10,1,9,3.23
6,2,1,1,15,1,15,3.1
11,4,2,2,14,1,15,3.01
12,5,2,2,20,1,12,4.04
7,5,2,2,17,1,18,2.32
5,4,1,1,13,1,8,3.1
5,3,1,2,13,1,10,3.33
9,4,1,1,10,1,9,0.0
4,4,1,2,12,1,11,4.48
4,6,3,1,17,1,12,0.0
5,4,2,1,14,1,18,2.91
7,6,1,1,13,1,10,4.3
7,4,1,1,16,1,12,4.1
6,3,0,1,7,1,12,0.0
5,2,0,1,12,1,10,4.57
8,2,2,1,11,1,18,2.13
7,4,0,1,16,1,9,0.0
7,1,2,2,11,1,20,3.59
13,7,2,2,21,2,20,2.96
6,5,2,2,14,1,7,3.33
12,6,1,1,15,1,13,3.54
9,8,4,2,18,2,16,3.81
8,5,3,2,15,1,16,4.93
5,1,1,1,7,1,8,3.62
5,3,1,2,20,1,8,4.85
16,8,3,3,29,2,27,0.0
9,5,2,1,15,1,9,3.86
8,2,1,1,12,1,11,2.92
5,3,1,1,9,0,5,2.75
5,2,0,1,12,2,5,3.64
4,1,1,1,9,1,13,3.55
19,5,2,3,30,2,21,4.31
4,3,0,1,7,1,10,2.28
9,2,3,2,18,1,11,6.39
5,2,1,2,15,1,12,3.8
5,3,2,2,12,1,9,5.48
8,3,2,1,13,1,13,4.01
4,2,0,1,15,1,8,3.56
5,4,2,1,11,1,8,3.59
5,5,3,2,16,1,11,4.06
7,4,1,1,16,0,12,0.0
10,6,1,2,10,1,18,3.39
5,2,1,1,11,1,16,3.44
3,3,3,1,19,1,12,2.49
5,3,1,1,10,1,18,3.46
4,2,2,1,8,1,9,3.9
7,4,2,2,15,2,12,2.48
8,4,1,1,12,1,13,0.0
4,3,1,1,20,1,9,2.47
9,5,2,3,26,1,14,4.11
8,2,0,1,8,1,8,6.67
9,3,0,1,13,0,13,0.0
15,5,3,3,25,1,19,3.45
6,1,1,1,11,1,12,0.0
18,6,3,2,16,1,18,5.2
6,3,1,1,14,1,8,2.85
7,2,0,1,6,0,4,0.0
10,5,0,0,17,1,7,3.49
4,3,0,1,13,0,9,4.67
3,3,1,1,11,1,7,3.04
5,3,1,0,9,0,6,6.54
4,2,0,1,13,1,5,2.75
6,5,0,1,16,1,6,2.69
5,5,1,1,14,1,9,3.87
7,3,2,2,20,1,8,3.61
6,5,0,1,17,0,6,3.29
4,3,0,0,9,1,4,3.27
6,5,1,1,17,1,12,2.92
8,5,2,1,13,1,7,4.96
5,4,1,2,20,1,6,0.0
5,5,2,0,12,0,10,3.24
6,5,1,1,16,0,10,0.0
7,4,1,1,18,1,8,2.71
6,4,0,1,15,1,10,3.71
5,5,1,1,11,1,8,0.0
5,4,1,1,8,1,12,4.25
6,2,1,1,13,1,6,0.0
4,3,1,1,8,1,7,0.0
4,2,1,1,11,1,7,0.0
5,6,2,2,22,0,10,2.22
6,3,1,1,12,1,6,0.0
7,3,1,1,13,1,13,2.73
6,2,1,1,10,1,10,4.73
5,4,0,1,14,0,9,0.0
4,3,1,0,6,0,6,4.94
4,3,2,1,18,1,12,2.12
4,2,0,1,9,1,9,0.0
4,3,0,1,9,0,13,0.0
4,3,1,1,8,1,7,4.82
6,3,1,1,14,1,9,3.53
6,2,1,1,11,1,10,3.54
5,4,1,1,14,1,7,0.0
7,4,0,1,15,0,9,0.0
5,3,1,1,11,1,9,3.97
4,2,2,1,13,1,8,3.26
5,4,2,1,17,1,6,4.06
4,4,1,1,12,1,5,3.63
4,4,1,1,10,1,6,1.83
7,4,1,1,17,0,11,2.52
2,3,0,1,9,0,8,3.03
5,6,2,1,11,1,7,4.73
5,4,1,0,11,1,8,0.0
5,5,1,2,15,1,15,4.6
6,3,1,1,10,0,9,4.17
5,2,0,1,9,0,8,3.83
4,3,1,1,10,1,7,0.0
5,3,1,1,4,1,6,4.14
5,2,1,1,4,1,6,3.06
9,4,2,1,16,2,10,3.34
7,4,1,1,14,1,10,2.67
7,4,0,1,10,0,8,3.47
5,2,1,1,4,1,6,0.0
4,4,2,2,17,1,17,2.86
5,3,1,1,18,1,10,4.11
2,5,2,1,17,2,7,3.29
5,2,0,1,9,1,8,3.38
7,4,2,1,18,2,9,3.64
4,2,1,1,6,1,5,3.71
5,1,1,1,12,1,8,3.77
7,4,1,1,12,1,8,2.25
7,2,1,1,22,1,8,2.89
3,4,1,1,13,0,6,3.32
2,3,1,1,18,1,8,3.44
4,3,0,0,4,1,4,0.0
4,3,0,1,9,1,5,2.03
5,3,0,1,8,0,6,3.8
